sub_score,neg_pct
4149,1.0
4251,1.0
4253,1.0
4280,1.0
4363,1.0
4368,1.0
4380,1.0
4409,1.0
4426,1.0
4437,1.0
4458,1.0
4488,1.0
4527,0.0
4531,1.0
4646,1.0
4686,1.0
4725,1.0
4726,0.0
4782,1.0
4844,1.0
4853,1.0
4863,0.0
4936,1.0
4957,1.0
5053,0.0
5148,1.0
5161,1.0
5229,1.0
5279,0.0
5318,1.0
5321,1.0
5347,1.0
5367,1.0
5459,1.0
5484,1.0
5637,1.0
5640,1.0
5651,1.0
5702,1.0
5752,1.0
5760,0.0
5764,1.0
5776,1.0
5781,1.0
5858,1.0
5877,1.0
5904,1.0
5978,0.0
6066,1.0
6114,1.0
6164,1.0
6171,1.0
6349,1.0
6479,1.0
6568,1.0
6629,1.0
6631,1.0
6674,1.0
6700,1.0
6908,1.0
7036,1.0
7124,1.0
7141,1.0
7161,1.0
7178,1.0
7190,1.0
7332,1.0
7550,1.0
7552,1.0
7589,1.0
7590,1.0
7796,1.0
7871,1.0
7887,1.0
7983,1.0
8000,1.0
8022,1.0
8059,1.0
8096,1.0
8120,0.0
8176,1.0
8355,1.0
8441,1.0
8515,1.0
8647,0.0
8682,1.0
8871,0.0
8884,1.0
8892,0.0
8898,0.0
8967,1.0
9092,1.0
9167,1.0
9332,1.0
9345,1.0
9391,1.0
9490,0.5
9545,1.0
9755,1.0
9757,1.0
9871,1.0
9886,1.0
10454,0.0
10459,1.0
10537,0.5
10833,1.0
11018,1.0
11156,0.0
11438,1.0
11500,1.0
11578,1.0
11762,1.0
11792,1.0
11907,1.0
12010,1.0
12217,1.0
12234,1.0
12607,1.0
12638,1.0
12695,1.0
12936,0.0
13142,1.0
13417,1.0
13551,0.0
13736,1.0
13780,1.0
14067,1.0
14118,1.0
14595,1.0
14845,1.0
15180,1.0
15216,1.0
15289,0.5
15310,1.0
15666,1.0
15717,1.0
15781,1.0
15895,1.0
16204,1.0
16384,1.0
16471,1.0
16653,1.0
16679,1.0
16947,1.0
17482,1.0
17582,1.0
17623,1.0
17672,1.0
17736,1.0
17987,1.0
18232,1.0
18249,1.0
18417,1.0
18594,1.0
18735,0.0
18785,1.0
18883,1.0
18913,1.0
18916,1.0
19010,1.0
19091,1.0
19365,1.0
19694,1.0
19873,1.0
20174,1.0
20278,1.0
20426,0.0
20499,1.0
20652,1.0
20713,1.0
20757,1.0
20914,1.0
20959,1.0
21095,1.0
21483,1.0
21832,1.0
21950,1.0
22063,1.0
22123,1.0
22202,1.0
22256,1.0
22571,1.0
22721,1.0
23350,0.0
23387,1.0
23388,1.0
23451,1.0
23518,0.0
23543,1.0
23582,1.0
23639,1.0
23898,1.0
24174,1.0
24280,1.0
24283,1.0
24380,1.0
24424,1.0
24523,1.0
24541,1.0
24577,1.0
24734,1.0
24818,1.0
24825,1.0
24836,1.0
24900,1.0
24995,1.0
25080,0.0
25147,1.0
25196,1.0
25300,1.0
25357,1.0
25368,1.0
25391,1.0
25408,1.0
25612,1.0
25637,1.0
25687,1.0
25799,0.0
25803,1.0
25921,1.0
25935,1.0
26033,1.0
26322,1.0
26337,1.0
26548,1.0
26578,1.0
26728,1.0
26769,1.0
26788,1.0
26790,1.0
26870,1.0
27028,1.0
27116,1.0
27144,1.0
27220,0.0
27263,1.0
27351,1.0
27425,0.0
27988,1.0
28036,1.0
28051,0.5
28067,0.0
28149,1.0
28152,1.0
28274,1.0
28315,1.0
28814,1.0
28838,1.0
28919,1.0
29023,1.0
29047,1.0
29053,1.0
29183,1.0
29530,1.0
29647,1.0
29672,1.0
29685,1.0
29695,1.0
29818,1.0
29861,1.0
29891,1.0
29913,1.0
30046,1.0
30071,1.0
30093,1.0
30100,0.0
30163,1.0
30215,1.0
30245,1.0
30265,0.0
30337,1.0
30467,1.0
30540,1.0
30552,1.0
30619,1.0
30663,1.0
30730,1.0
30747,1.0
30757,1.0
30864,1.0
30915,1.0
30926,1.0
30959,1.0
31045,1.0
31063,0.0
31086,1.0
31096,1.0
31274,0.0
31324,1.0
31337,1.0
31359,1.0
31435,1.0
31587,1.0
31592,1.0
31878,1.0
31924,1.0
32068,1.0
32085,1.0
32227,1.0
32556,0.6666666666666666
32704,0.0
32786,1.0
33002,1.0
33065,1.0
33185,1.0
33201,1.0
33236,1.0
33316,1.0
33462,1.0
33537,1.0
33622,1.0
33636,1.0
33738,1.0
33805,1.0
34005,1.0
34078,0.0
34110,1.0
34145,1.0
34186,1.0
34346,1.0
34425,1.0
34615,1.0
34749,0.0
34850,1.0
34947,1.0
35014,1.0
35040,1.0
35146,1.0
35496,1.0
35499,1.0
35605,1.0
35614,0.5
35617,1.0
35702,1.0
35870,1.0
35883,1.0
